"id","turtle_id","photo_name","type","ImageURL"
"2","1.2.10-1","1.2.10-1.jpg","unknown","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2.10-1.jpg"
"3","1.2-8","1.2-8.JPG","unknown","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-8.jpg"
"4","1.2-12","1.2-12.JPG","unknown","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-12.jpg"
"5","1.2.10-10","1.2.10-10_top.JPG","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2.10-10_top.jpg"
"6","1.2-3","1.2-3_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-3_top.jpg"
"7","1.2-11","1.2-11_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-11_top.jpg"
"8","1.3-2","1.3-2_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.3-2_top.jpg"
"9","1.11-2","1.11-2_top.JPG","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.11-2_top.jpg"
"10","2.3-1","2.3-1_top.JPG","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.3-1_top.jpg"
"11","2.9-2","2.9-2_top.JPG","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-2_top.jpg"
"12","2.9-3","2.9-3_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-3_top.jpg"
"13","2.9-9","2.9-9_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-9_top.jpg"
"14","3-8.9.10","3-8.9.10_top.jpg","training photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/3-8.9.10_top.jpg"
"15","1.2.10-10","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2.10-10_second_photo_top.jpg"
"16","1.2-3","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-3_second_photo_top.jpg"
"17","1.2-11","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2-11_second_photo_top.jpg"
"18","1.3-2","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.3-2_second_photo_top.jpg"
"19","1.11-2","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.11-2_second_photo_top.jpg"
"21","2.9-2","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-2_second_photo_top.jpg"
"22","2.9-3","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-3_second_photo_top.jpg"
"23","2.9-9","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-9_second_photo_top.jpg"
"24","3-8.9.10","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/3-8.9.10_second_photo_top.jpg"
"25","2.9-2","Third Photo_top.jpg","third photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.9-2_third_photo_top.jpg"
"20","2.3-1","Second Photo_top.jpg","second photo","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/2.3-1_second_photo_top.jpg"
"1","1.2.3-8","1.2.3-8.JPG","unknown","https://sa-static-customer-assets-us-east-1-fedramp-prod.s3.amazonaws.com/data.michigan.gov/1.2.3-8.jpg"
